date,retweets,favorites,text,mentions,hashtags,id,permalink
4/5/2017 19:10,0,0,"You'd think there might be a requirement to tell family members or caregivers"". No? #Lyrica #BigPharma pic.twitter.com/sIVli0hIeA""",,#Lyrica #BigPharma,8.50E+17,https://twitter.com/GetTheFlick/status/849617710816350208
3/12/2017 7:42,0,0,@HLNTV part of the most dangerous #DrugThug #CARTEL in the US prostituting for #BigPharma killing/injuring & promoting #ADDICTION ! #LYRICA ?,@HLNTV,#DrugThug #CARTEL #BigPharma #ADDICTION #LYRICA,8.41E+17,https://twitter.com/ESRDguy/status/840747222216118273
1/2/2017 23:14,0,1,I think #BigPharma gets product names from #Black folks! #lyrica ,,,,
10/13/2016 8:11,0,0,#Lyrica is an addictive drug but @hgtv doesn't care as long as #hgtv gets its #BigPharma #BloodMoney for pushing it 24/7/365! #DrugThug !!!,@hgtv,#Lyrica #hgtv #BigPharma #BloodMoney #DrugThug,7.86E+17,https://twitter.com/ESRDguy/status/786396395347468290
7/18/2016 6:26,2,2,#Lyrica is a dangerous addictive drug. @CBS doesn't care because #BigPharma pays #LesMoonves CEO #BloodMoney to promote addiction in USA!!!,@CBS,#Lyrica #BigPharma #LesMoonves #BloodMoney,7.55E+17,https://twitter.com/ESRDguy/status/754842219564052480
5/21/2016 3:12,34,24,Popular pain drug,,,,
1/25/2016 22:28,0,0,#Pfizer ’s Quiet Recall of #Lyrica Capsules http://www. painnewsnetwork.org/stories/2016/1 /24/pfizers-quiet-recall-of-lyrica-capsules#.VqZUCPeI560.twitter … #ptsafety #BigPharma,,#Pfizer #Lyrica # #ptsafety #BigPharma,6.92E+17,https://twitter.com/MarianHolling/status/691666538726690816
7/19/2015 9:24,0,0,#Lyrica is dangerous but @CBS @CBSEveningNews doesn't care! #Greed drive #CBS social consciousness is absebt! Part of #BigPharma pushers!!!,@CBS @CBSEveningNews,#Lyrica #Greed #CBS #BigPharma,6.23E+17,https://twitter.com/ESRDguy/status/622615545544704000
5/17/2015 20:10,0,0,#Lyrica is a very dangerous drug but #BigPharma #SLUT @CBS @CBSNEWS not concerned about your welfare. #CBS #SHAME #STOPDRUGADS !!!,@CBS @CBSNEWS,#Lyrica #BigPharma #SLUT #CBS #SHAME #STOPDRUGADS,6.00E+17,https://twitter.com/ESRDguy/status/599947666596896768
4/13/2015 4:45,1,0,#BigPharma #WHORE @hallmarkchannel is a threat to your health! #Beware ! #Lyrica is dangerous!!! Among other dangerous things - addictive!!!,@hallmarkchannel,#BigPharma #WHORE #Beware #Lyrica,5.87E+17,https://twitter.com/ESRDguy/status/587393652726439936
2/23/2015 7:18,0,0,@60Minutes #Lyrica is a deadly drug. @CBSEveningNews should resign as a #BigPharma #WHORE ! #CBS not concerned for welfare of viewers!!!,@60Minutes @CBSEveningNews,#Lyrica #BigPharma #WHORE #CBS,5.70E+17,https://twitter.com/ESRDguy/status/569675200867880960
11/3/2014 21:10,0,0,#medical #Cannabis more effective than #bigpharma for #fibromyalgia #lyrica @upatientsgroup http:// instagram.com/p/u8WTgrBjU_/,@upatientsgroup,#medical #Cannabis #bigpharma #fibromyalgia #lyrica,5.29E+17,https://twitter.com/DOOBONS/status/529297069585235968
2/23/2013 6:41,0,0,Saw TV spot for new drug #Lyrica . Then saw one for Instrumenica.™ There are simply no words for how good THAT one is. | #bigpharma #Rx,,#Lyrica #bigpharma #Rx,3.05E+17,https://twitter.com/MarketPowerPLUS/status/305122565091905536
4/7/2017 9:02,0,0,#metformin diabetic drug makes #painkillers and #pregabalin work better http:// painmuse.org/?p=5531,,#metformin #painkillers #pregabalin,8.50E+17,https://twitter.com/painmuse/status/850189602732113921
4/7/2017 2:47,1,1,#ShoutOutYourMedChange . Fluoxetine - 10 day migraine. Aripiprazole - Couldn't pee,,,,
4/7/2017 2:27,0,3,Quetiapine yn cael ei roi i finnau hefyd - 300mg ar hyn o bryd. Duloxetine,,,,
4/6/2017 22:18,0,1,Add a pregabalin and the vitamin D I lost #Carolineistidying,,#Carolineistidying,8.50E+17,https://twitter.com/lookingforcm/status/850027456643969025
4/6/2017 22:11,0,0,@CDSCO_INDIA_INF can u plz confirm the approval status of ME PXL ( pregabalin ER + mecobolamin ER). Systopic claim its 1st in india.,@CDSCO_INDIA_INF,,8.50E+17,https://twitter.com/sksheth/status/850025594754670593
