Tweets,Sentiment
And csk is most followed team on Twitter inspite of not playing 2 seasons. But always love #csk,positive
@IPL      #csk             #,neutral
#IPL without Chennai #CSK is lik food without salt and spice,neutral
#CSK fans ku Vaai mattum illayo,neutral
Most followed @IPL team on @Twitter is @ChennaiIPL #MyCSK #ChennaiSuperKings @msdhoni @ImRaina #CSK,positive
jbse #CSK hati h m dekhta hi ni hu IPL sbse achi team ko hata diya sab ko pata h IPL paise ka khel h isme sb involve h,neutral
   ..  ? #CSKRewind #IPL #CSK http:// bit.ly/2p8XL2x pic.twitter.com/cDC4O6D92u,neutral
Thala back... Ball over the roof... Waiting ipl11 #csk  ...    ... @ChennaiIPL,neutral
#CSK next year baby..... waise v #2k16_nd_2k17 ka #IPL dekh hi ny rha m...... #MAHI_CSK  https://www. instagram.com/p/BS-WD7Rj8D2/,neutral
Champions are coming back again in 2018 #CSK .... others team be careful pic.twitter.com/TFWjwHUuFS,negative
#HBDMurali HAPPY BIRTHDAY Mr. 800... #Whistlepodu #csk,positive
We're waiting in suspended animation for #CSK to be back https:// twitter.com/arasiarul/stat us/853812448570351616 ,neutral
Dhoni....the north still remembers! #CSK,neutral
   ..  ? #CSKRewind #IPL #CSK http:// bit.ly/2p8XL2x pic.twitter.com/pjEOEV7nBC,neutral
Ms Dhoni vs Usen polt.. #Indians #Ms dhoni #Csk pic.twitter.com/WgKQKuHEAA,neutral
It's just Sample ... Waiting for #SummerOf18 #CSK #Yaarukuda Vayasu aagiduchi pic.twitter.com/DDdhcn6Zby,neutral
Mahi maar raha he moment. Pic credit cricfit #msdians #msd #csk #ipl10 #rps #bleeddhonism  https://www. instagram.com/p/BS-RExND9ef/,neutral
@hvgoenka say bye bye to the ipl man next year the legend team is coming under the legend captain #whistlepodu #csk #msd,neutral
Dhoni Dhoni Dhoni #mahi #msdians #msdian #legend #csk #rps https://www. instagram.com/p/BS-OpEQDAw4/,neutral
