Tweets,Sentiment
You'd think there might be a requirement to tell family members or caregivers". No? #Lyrica #BigPharma pic.twitter.com/sIVli0hIeA",neutral
@HLNTV part of the most dangerous #DrugThug #CARTEL in the US prostituting for #BigPharma killing/injuring & promoting #ADDICTION ! #LYRICA ?,negative
I think #BigPharma gets product names from #Black folks! #lyrica ,negative
#Lyrica is an addictive drug but @hgtv doesn't care as long as #hgtv gets its #BigPharma #BloodMoney for pushing it 24/7/365! #DrugThug !!!,negative
#Lyrica is a dangerous addictive drug. @CBS doesn't care because #BigPharma pays #LesMoonves CEO #BloodMoney to promote addiction in USA!!!,negative
Popular pain drug,positive
#Pfizer s Quiet Recall of #Lyrica Capsules http://www. painnewsnetwork.org/stories/2016/1 /24/pfizers-quiet-recall-of-lyrica-capsules#.VqZUCPeI560.twitter  #ptsafety #BigPharma,neutral
#Lyrica is dangerous but @CBS @CBSEveningNews doesn't care! #Greed drive #CBS social consciousness is absebt! Part of #BigPharma pushers!!!,negative
#Lyrica is a very dangerous drug but #BigPharma #SLUT @CBS @CBSNEWS not concerned about your welfare. #CBS #SHAME #STOPDRUGADS !!!,negative
#BigPharma #WHORE @hallmarkchannel is a threat to your health! #Beware ! #Lyrica is dangerous!!! Among other dangerous things - addictive!!!,negative
@60Minutes #Lyrica is a deadly drug. @CBSEveningNews should resign as a #BigPharma #WHORE ! #CBS not concerned for welfare of viewers!!!,negative
#medical #Cannabis more effective than #bigpharma for #fibromyalgia #lyrica @upatientsgroup http:// instagram.com/p/u8WTgrBjU_/,positive
Saw TV spot for new drug #Lyrica . Then saw one for Instrumenica. There are simply no words for how good THAT one is. | #bigpharma #Rx,positive
#metformin diabetic drug makes #painkillers and #pregabalin work better http:// painmuse.org/?p=5531,positive
#ShoutOutYourMedChange . Fluoxetine - 10 day migraine. Aripiprazole - Couldn't pee,neutral
Quetiapine yn cael ei roi i finnau hefyd - 300mg ar hyn o bryd. Duloxetine,neutral
Add a pregabalin and the vitamin D I lost #Carolineistidying,neutral
@CDSCO_INDIA_INF can u plz confirm the approval status of ME PXL ( pregabalin ER + mecobolamin ER). Systopic claim its 1st in india.,neutral
Read on if you have #sciatica : One of the most commonly prescribed drugs for sciatica,positive
Nessun beneficio dal pregabalin per la cura della sciatica": un articolo del The New England Journal of Medicine... http:// fb.me/1efnA1mkg",positive
Pregabalin may treat the pain and the stiffness on which other medication doesn't work,negative
Butuh pregabalin 75mg,neutral
Pregabalin is an anticonvulsant drug used for #NeuropathicPain .,neutral
is it #neuropathicpain ? Tried things like #gabapentin and #pregabalin ? Quite effective for nerve pain,positive
Pregabalin use in TKR/THR - systematic review. Good in first 48hrs,positive
Hey Sweet Pea,positive
Pregabalin Found No Better Than Placebo for Painful Sciatica https:// shar.es/1QejfJ,negative
Pregabalin (Lyrica) no more effective in treatment of sciatica than placebo,positive
today's good news is that my pregabalin dose got bumped up a bit more so here's to maybe less bad thoughts and pain,positive
http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292  ,positive
Preoperative use of pregabalin for acute pain in spine surgery https://www. ncbi.nlm.nih.gov/pmc/articles/P MC5369880/ ,positive
Teva pregabalin s 8: FC applies the Sanofi decision to find Teva would've been the only generic in the but-for-world http:// decisions.fct-cf.gc.ca/fc-cf/decision s/en/229370/1/document.do ,neutral
Pregabalin didn't reduced pain in sciatica in this study. @SEMES_ @SemesMir @ketaminh @emresidents @research_er https://www. ncbi.nlm.nih.gov/m/pubmed/28328 324/ ,neutral
A PRECISE Study of Pregabalin for Sciatica https:// resident360.nejm.org/content_items/ 2534/  via @Seth_Bhavna Highly questionable role!,negative
Dose ranging effects of pregabalin on pain in patients undergoing laparoscopic hysterectomy: A randomized,neutral
My 'hairy' experiences of #Pregabalin for #fibromyalgia ! http:// buff.ly/2oXLv0n #spoonie #Lyrica #chronicpain #fibro #chroniclife #CFS pic.twitter.com/yAJA8Ruwq9,neutral
Had great afternoon #deprescribing in a nursing home,positive
Trial of Pregabalin for Acute and Chronic Sciatica  NEJM http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292?query=featured_home ,positive
Pregabalin improved both insomnia and the back pain from spine fractures of my patient.Side effect works well.,neutral
@normanswan listn'g to HR on pregabalin ; it eases my severe upper body nerve pain & gives me a quality of life I wouldn't have,neutral
@RestlessLegsUK I was diagnosed with this a while back and prescribed ' Pregabalin ' but my dr refuses to issue repeat prescriptions of it?,neutral
Yup! Leave alone the Q of Cost Effectiveness,neutral
Once again,neutral
The anti-convulsant drugs gabapentin and pregabalin may be used. Fibromyalgia,neutral
Pregabalin & sciatica Treatment with pregabalin did not significantly reduce the intensity of leg pain... http:// fb.me/91ZfYNPhn,negative
Pregabalin and duloxetine are approved for the management of #fibromyalgia .,neutral
@drsarahgarner Pregabalin barely works as analgesic. Pfizer fined $ bns for off-label promotion. It's costing the NHS a lot. A case for NICE?,positive
#Pregabalin increases risk of #opioid overdose in MAT http:// ow.ly/EAIZ30auzwu,neutral
#Pregabalin increases risk of #opioid overdose in MAT http:// ow.ly/EAIZ30auzwu,neutral
#Pregabalin increases risk of #opioid overdose in MAT http:// ow.ly/EAIZ30auzwu,neutral
And can't they stop prescribing Lyrica and stick to generic Pregabalin to cut cost?,neutral
Primary Care with Geoffrey Modest MD: pregabalin did not help sciatica" http:// blogs.bmj.com/ebm/2017/04/03 /primary-care-with-geoffrey-modest-md-pregabalin-did-not-help-sciatica/ ",positive
When you take pregabalin for an anxiety attack you can almost feel incoming But 30 minutes later shit goes crazy and your brain is like: pic.twitter.com/uAgAXKiKtj,negative
Study after eight weeks no difference in the severity of leg pain between those who took pregabalin & those who... http:// fb.me/1owNMrkZM,neutral
Study after eight weeks no difference in the severity of leg pain between those who took pregabalin & those who... http:// fb.me/4pvWdj6qQ,neutral
Study after eight weeks no difference in the severity of leg pain between those who took pregabalin & those who... http:// fb.me/1dnibUmMq,neutral
For those saying we studied wrong pt group. PainDETECT status did not moderate effect of pregabalin in PRECISE trial #backpain #physio pic.twitter.com/eFaUX6asr7,negative
#Lyrica #Pregabalin is an #anticonvulsant to help and relieve certain types of #nervepain or #seizures --> http://www. pharmacy-xl.com/lyrica-pills-g eneric-anticonvulsant-75-150-mg-tablets-pregabalin-nerve-pain-seizures-pfizer-online-pharmacy-xl.html  #NERVE,positive
Primary Care with Geoffrey Modest MD: pregabalin did not help sciatica http:// ow.ly/MKnZ50aBZZu,positive
My 'hairy' experiences of #Pregabalin for #fibromyalgia ! http:// buff.ly/2nzS4pZ #spoonie #Lyrica #chronicpain #fibro #chroniclife #CFS pic.twitter.com/LfahqWXvqF,neutral
Pregabalin has become a recreational drug (as well as being an actual medicine) which may account for some of the increase.,neutral
Pregabalin is an anticonvulsant drug used for #NeuropathicPain .,neutral
Pregabalin found ineffective against sciatic pain http:// reut.rs/2neAgD3 http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292?query=featured_home ,positive
Genuinely never thought id get a two day hangover. Getting hangovers due to pregabalin has been annoying as it is.,negative
Pregabalin is blackballed in our CCG,neutral
Pregabalin is bloody marvellous.,negative
Pregabalin not so good for sciatica as per this study. pic.twitter.com/3Xjboa9Cki,positive
Ha! Fair point. Hasn't stopped generics though. Think NHSE will seek redress for the pregabalin debacle though. Huge waste of resources,positive
En skandal att pregabalin ligger som nr 2.,neutral
I accidentally fell asleep wayyy before my bed time and had to wake up to take my Pregabalin . News flash: I still have a tattoo.,neutral
Starting to see this- MT Misuse and abuse of pregabalin and gabapentin: cause for concern? - PubMed - NCBI https://www. ncbi.nlm.nih.gov/pubmed/24760436,neutral
Pregabalin improved both insomnia and the back pain from spine fractures of my patient.Side effect works well.,neutral
Oromorph & zolpidem cocktail + dash of Abilify & shot of Pregabalin .Done jack shit for pain.Or sleep.But having fun convo with giant spider,positive
Pregabalin ... https:// twitter.com/azeem_majeed/s tatus/848112727507820544 ,neutral
New2Trip: Pregabalin Zentiva k.s. - neuropathic pain,neutral
@sib313 Axalid ( Pregabalin ) only costs 19.95 vs 60-90 Lyrica. Easy way of reducing costs of pregabalin prescribing... https:// twitter.com/sib313/status/ 848603966254481408 ,positive
pregabalin ,neutral
Aleppo I tried Lyrica ( pregabalin  close relative to gabapentin) yrs ago. It real helped my pain,positive
Currently evidence does not support gabapentin or pregabalin for bone pain @ASPConf2017 pic.twitter.com/JBXigzeLro,neutral
Agree,neutral
The NHS spent more prescribing Pregabalin in december 2016 than on anything else despite doubt about its efficacy: pic.twitter.com/QXveyuC9Ke,positive
Is Pregabalin Ineffective in Acute or Chronic Sciatica? http:// bit.ly/2nwgU9Y via @NEJM,positive
Shocking pregabalin is No2. Physiotherapy can help massively with pain / persistent pain. @thecsp #physiofirst #painrelief https:// twitter.com/azeem_majeed/s tatus/848112727507820544 ,negative
#Pregabalin has been shown to be effective for other types of #neuropathic pain http:// ow.ly/E00v30aly0F pic.twitter.com/EX2bAoiI6F,positive
Fascinating list - three most interesting #drugs for #orthopaedic surgeons are Pregabalin ,positive
Pregabalin had me stoned !!!!,neutral
Pregabalin could do with being more controlled. Second only to synthetic cannabinoids in misused drugs I'm seeing in the ED presently.,positive
Not so sure about metformin,positive
No. 2: Pregabalin . Suspect mostly not being used for true neuropathic pain (DM/radicular etc...) but chronic pain states. https:// twitter.com/azeem_majeed/s tatus/848112727507820544 ,positive
Since pregabalin does little of either good or harm,positive
also interesting is the NOAC use and pregabalin .,positive
Ha ha. Like pregabalin is used in an evidence based fashion!,neutral
That matches my experience. Tried on variety of meds before Pregabalin . Significant improvement in symptoms under Pregabalin cf Gabapentin.,positive
last night i was in agony. took three pregabalin & two tramadol just to stop it enough to sleep. also had ice packs. alcohol + nerve pain=no,neutral
Release_drugs: Dublin drug workers are reporting a rise in problematic use of Pregabalin ,neutral
Dublin drug workers are reporting a rise in problematic use of Pregabalin ,neutral
Pregabalin is little better than a placebo https://www. washingtonpost.com/news/to-your-h ealth/wp/2017/03/22/a-painkiller-found-to-be-no-better-than-placebo-for-sciatica/ ,positive
Many primary care prescribers constrained on prescribing Pregabalin . A secondary care consult can circumvent that.,positive
Our luxury in sec care comp to primary is time. Pregabalin just another bit of armour in the arsenal. But it is effective for very many.,positive
Why so much pregabalin ? What on earth? https:// twitter.com/Azeem_Majeed/s tatus/848112727507820544 ,positive
Probably Pregabalin and nutritional products.,neutral
COPD & asthma common and have high NHS costs,negative
COPD/Asthma cost a fortune. Pregabalin not very effective and massive abuse potential. Govt concentrate on OTC paracetamol...... https:// twitter.com/Azeem_Majeed/s tatus/848112727507820544 ,negative
My 'hairy' experiences of #Pregabalin for #fibromyalgia ! http:// buff.ly/2onYITO #spoonie #Lyrica #chronicpain #fibro #chroniclife #CFS pic.twitter.com/PhJFLihhtF,neutral
@Azeem_Majeed But pregabalin is strongly recommended for neuropathic pain in general. See meta-analysis in The Lancet:,positive
@Azeem_Majeed The NEJM paper investigated pregabalin for sciatica neuropathic pain.,neutral
The anti-convulsant drugs gabapentin and pregabalin may be used. Fibromyalgia,neutral
Has anyone ever had #lyrica // #pregabalin and can tell me if it causes severe weight gain?,neutral
@ElspethDesert @JoWatson99 pregabalin no better than placebo?? And huge cost https:// twitter.com/azeem_majeed/s tatus/848112727507820544 ,positive
NEJM: Pregabalin for Aucte/Chronic Sciatica? NO; No Sx control,neutral
Good god. And pregabalin barely even works. Some sorting needed here https:// twitter.com/Azeem_Majeed/s tatus/848112727507820544 ,positive
Pregabalin and duloxetine are approved for the management of #fibromyalgia .,neutral
Pregabalin a massive problem for lots of reasons - price being the most eye catching. Off patent price drop won't make prescribing better,positive
Fair point. From personal experience Pregabalin has been far more effective than Gabapentin ever was.,positive
NI has the highest rate of pregabalin prescribing inU.K. - shudder to think how much we spend locally on this-also misused recreationally! https:// twitter.com/azeem_majeed/s tatus/848112727507820544 ,positive
Hospital prescribers seem to jump on to Pregabalin even before patient tried others like Gabapentin or Duloxetine,neutral
Given dearth of analgesics what would you replace Pregabalin /Gabapentin with or are you suggesting they're over prescribed?,neutral
 @trishgreenhalgh : @Azeem_Majeed Pregabalin could do with a deep dive audit" Used to Control Pain!!! Essential for a Quality Life!",neutral
Can I take pregabalin during #pregnancy ? Find the answer at http:// ow.ly/xnI4z,neutral
The widely prescribed pain drug Pregabalin (brand name: Lyrica) is no better than a placebo for back and leg pain. http:// bit.ly/2mY8rA5 pic.twitter.com/UX0cW3S7qD,negative
Pregabalin is no better than a placebo https://www. google.co.uk/amp/s/www.wash ingtonpost.com/amphtml/news/to-your-health/wp/2017/03/22/a-painkiller-found-to-be-no-better-than-placebo-for-sciatica/  via @washingtonpost,negative
And some of the prescribed pregabalin then sold on the black market as 'pregabs' v common in Bristol https:// twitter.com/azeem_majeed/s tatus/848112727507820544 ,negative
@PharmacyIsGood pregabalin in top 10. No surprises there... http://www. content.digital.nhs.uk/catalogue/PUB2 3631 ,positive
Pregabalin would seem a good target for a review of prescribing - both in general practice and in hospital outpatient clinics.,positive
Thought pregabalin not so effective for pain? Recent NEJM paper I think? https:// twitter.com/azeem_majeed/s tatus/848112727507820544 ,positive
Lots of media attention this week on NHS prescribing of OTC drugs but high-cost items like Pregabalin (annual cost 315M) largely ignored.,positive
Exactly my thought! Lots of media attention this week on NHS prescribing of OTC drugs but high-cost items like Pregabalin largely ignored.,positive
Pregabalin could do with a deep dive audit,neutral
Use Lyrica to Make Your Body Free From the Suffering of Neuropathic Pain. http:// bit.ly/2nVv4Vs #lyrica #pregabalin #nervepain pic.twitter.com/7IgSrTufam,positive
the consensus so far is that either caffeine and pregabalin don't mix or my body is welcoming its old friend back,positive
 # #garo # #zero #DRAGON_BLOOD,neutral
They are but I didn't take my pregabalin weds because I had TWO alcoholic drinks and woke up Wednesday in proper agony.,negative
I take pregabalin ,neutral
yeah I take a few different ones. Not sure if beta blockers would work with the pregabalin . Ill def ask.,negative
not to mention diclofenac,neutral
In patients with #sciatica pain,neutral
Gabapentin,neutral
@PeteOSullivanPT @Liam_West Pregabalin no better than placebo in sciatica - time to look at alternative Rx http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292 ,positive
Concern over street use of pregabalin in Dublin and Limerick http:// bit.ly/2oizB57,neutral
Swallowing all those dangersous drugs in high dosages becouse i wouldnt continue2get pregabalin of which you cant ever take to much.Thanks,positive
Pregabalin is an anticonvulsant drug used for #NeuropathicPain .,neutral
RT RichardLehman1: Pain is personal. Pregabalin definitely not first choice for sciatica NEJM but does it work for anyone? Not clear. ,negative
Trial of Pregabalin for Acute and Chronic Sciatica  NEJM http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292#.WN4Yn7CZz54.twitter ,positive
Makes one consider how and why gabapentinoids are used periop. Pregabalin for acute and chronic sciatica http://www. nejm.org/doi/full/10.10 56/NEJMoa1614292#.WN4LG-7r4D8.twitter ,positive
Took pregabalin for my back when I went to sleep last night.. me when I woke up an hour later pic.twitter.com/WgBB6Z9PFx,neutral
Pregabalin : we didn't call it the gay drug for no reason :p https://www. washingtonpost.com/news/to-your-h ealth/wp/2017/03/22/a-painkiller-found-to-be-no-better-than-placebo-for-sciatica/?utm_term=.323be50ff344 ,positive
bmj_latest: RT RichardLehman1: Pain is personal. Pregabalin definitely not first choice for sciatica NEJM but does it work for anyone? Not ,positive
