Tweets,Sentiment
#Pots &PansProtest Turkish president claims referendum win but opposition wants recount https:// twitter.com/i/moments/8536 34668662591489 ,positive
When mom gets you white chocolate because you can't have regular chocolate because caffeine #shesthebest #postie #pots #spoonie #Easter pic.twitter.com/eUOkrHWvLi,neutral
Have worn #clonidine patch for hyperadrenergic #POTS for years,neutral
Diagnosed with #POTS in Spring of '13,neutral
Infusions today! High pain day. Shout out to the guy who helped me at the hospital with my chair! #elhersdanlossyndrome #POTS,positive
All because I ate terribly yesterday and let myself get too dehydrated. What I eat and drink affects my #POTS so much.,negative
Fibromyalgia  Coping With the Pain #fibro #rsd #crps #eds #pots #lupus #lyme #coping #pain ... http:// fb.me/5NCmAWKPr,neutral
How to Understand Someone With Chronic Pain #rsd #crps #lupus #lyme #pots #eds #fibro #ms #ra #pain #chronicpain ... http:// fb.me/Vv6Q7XI4,neutral
Regular Use of Saline May Reduce Symptoms,neutral
#Pottery #Classes #designs #decoration #clay #ceramics #pots #crockery #ceramics #crafts #handmade #App on #Amazon http://www. amazon.com/Bliss-Apps-Pot tery/dp/B009BL33BW/ ,neutral
#brainfog #ChronicPain #chronicillness #pots #eds #EhlersDanlos pic.twitter.com/htgOsuczlV,neutral
#Clay #Crafts #Android #App on #Amazon #dolls #toys #polymer #pots #tutorials #design #projects #artist #art #kids http://www. amazon.com/Bliss-Apps-Cla y-Crafts/dp/B00CISQKQ0/ ,neutral
Proud of myself I fitted it all in my clutch bag #EDS #POTS #MCAD #hiddendisabilities #medicsmylineandme pic.twitter.com/YL5KdzGPXZ,positive
Sell #pots and #planters ? Get your site reviewed via our #directory @http:// bit.ly/20ULPtB pic.twitter.com/1bt9DSllR5 #MMLH,neutral
Did too much trying to help prepare #Easter lunch for family and friends that I've ended up missing it,neutral
Think marathon not sprint... http:// buff.ly/2o2g1Wp #EDS #HSD #fibromyalgia #pain #zebras #spoonie #POTS #MCAD #EhlersDanlos,neutral
@DVBAG Die Linie 66/B steht heute Kopf! . #POTS pic.twitter.com/ycmotP6lgR,neutral
Complete List of My Symptoms of #MECFS ,positive
Yikes. Just woken up. Apparently eating terribly affects my #pots and sleepiness. Who knew*?! *I knew and ate terribly yesterday anyway.,negative
#raku #springbreak #student #pottery #pots #fire #hot @The Gow School https://www. instagram.com/p/BS8nonfg30v/,positive
NEW VIDEO OUT @billysharp10 received the @EFL League One #POTS can I pack him? #fut #fifa #sufc #twitterblades https:// m.youtube.com/watch?v=tQtvBF Nf0p8 ,positive
Tonight I'm facing my #fears go me!! #immunesuppressed #EDS #POTS #MCAD #Iwin pic.twitter.com/GKN0gvfRS1,neutral
Staying Fit With Chronic Pain #exercise #fit #pain #rsd #crps #eds #pots #lyme #lupus #fibro #ms #ra #heart ... http:// fb.me/5Wvr9Dkcx,positive
#Easter #chocolate #easteregg #chocolateegg #spring #summer #april #pots #jugs #pottery #potter #ceramics #ceramicist pic.twitter.com/dm5yV35Rhn,neutral
Bakeware Sets @Amazon http:// amzn.to/2eLylSA #pots #pans #baking #cooking #bakeware #cookware #household pic.twitter.com/Rjdk9gJC6s,neutral
#MyalgicE #POTS #mecfs https://www. healthrising.org/blog/2017/04/1 5/saline-pots-chronic-fatigue-syndrome/  http:// fb.me/7x5HeDdx2,neutral
#Mud #pots https://www. instagram.com/p/BS7-mHpBFDb/,neutral
Regular Use of Saline May host boost Energy in #POTS and #mecfs ... http:// fb.me/QILO70pn,neutral
To all Arsenal fans - #mindthegap . Also,neutral
