twt_id,twt_created_at,twt_text,twt_rt_count,twt_source,twt_user_id,twt_user_location,twt_user_following,twt_user_screen_name,twt_user_friends_count,twt_user_statuses_count,twt_user_lang,twt_user_created_at
844906237456199680,Thu Mar 23 13:38:39 +0000 2017,In a globalized world system goods &amp; services usually have better #mobility &amp; #rights than humans. Why are we as a... ,0,,559727682,Germany | Thailand | Singapore,None,simonpeth,1445,2400,en,23-03-2017
844906248470380544,Thu Mar 23 13:38:41 +0000 2017,#Ireland warns against post-#Brexit 'race to bottom' for banks ,0,,9003482,Singapore,None,FHxoxo,1355,48776,en,23-03-2017
844906279676133376,Thu Mar 23 13:38:49 +0000 2017,  #brexit is making you poorer Food price rises drive inflation to three-year high ,0,,837213306,East  England,None,ian_mortimer_uk,231,3246,en,23-03-2017
844906282532425730,Thu Mar 23 13:38:50 +0000 2017,VIDEO: Stolen Seas: Brexit is an opportunity to right a grevious wrong //t.co/jkfFhvw05e #UKIP #Brexit,0,,221795831,Brussels/Strasbourg,None,ukipmeps,85,2467,en,23-03-2017
844906318263668737,Thu Mar 23 13:38:58 +0000 2017,  Sign up to the @NHSConfed_EU #Brexit bulletin for the latest Brexit news and information for health and care... ,0,,324964395,Stoke-on-Trent ,None,plumpypipsqueak,669,50033,en,23-03-2017
844906341516873729,Thu Mar 23 13:39:04 +0000 2017,  . We need to know  who is going to be in charge to deal with #brexit fallout? ...,0,,45645135,Duncormick Wexford Ireland,None,SineadScallanFF,2071,7123,en,23-03-2017
844906357518024705,Thu Mar 23 13:39:07 +0000 2017,#MAGA #News | #ZacharyHubbard #322 #Parliament #falseflag #Brexit #TheresaMay ritual #Belgium 2016 #LondonAttack... ,0,,78431908,Rancho Santa Margarita  CA,None,SlicksTweetz,4889,33949,en,23-03-2017
844906377554350080,Thu Mar 23 13:39:12 +0000 2017,Agreed  we will accept nothing less than total victory #stopbrexit ,0,,780840449963532288,Little England,None,TakingJobs,100,12712,en,23-03-2017
844906385049636864,Thu Mar 23 13:39:14 +0000 2017,  Brexit: UK lawyers and accountants 'could be banned from EU work' via //t.co/Al07lRasFz,0,,792782917638455296,Spain,None,BremainInSpain,413,1483,en,23-03-2017
844906388694487041,Thu Mar 23 13:39:15 +0000 2017,Para los islamistas su unica patria y su fidelidad es para el Coran y como en todas las religiones su interpretacio... ,0,,2279346062,Valle del Kas,None,leynoesjusticia,3885,36459,es,23-03-2017
844906388937736193,Thu Mar 23 13:39:15 +0000 2017,  Clapper The Crapper Knew About #TheHammer #MAGA #pedogate #TrumpTrain #AmericaFirst #ObamaGate #TCOT #MCGA... ,0,,285176569,United States,None,gregoryfcooper,110,104,en,23-03-2017
844906414556401664,Thu Mar 23 13:39:21 +0000 2017,  Trump Wiretapped #TheHammer #MAGA #pedogate #TrumpTrain #AmericaFirst #DrainTheSwamp #ObamaGate #TCOT #MCGA... ,0,,1706302074,Alameda  CA,None,alex_forreal,605,22100,en,23-03-2017
844906428984909825,Thu Mar 23 13:39:24 +0000 2017,  Yes: keep making it clear that the march on 25 March is STOP #BREXIT. There are no hard &amp; soft Brexits  there's onl... ,0,,227389244,London,None,Tonywauk,1521,53819,en,23-03-2017
844906439412006912,Thu Mar 23 13:39:27 +0000 2017,  #Brexit : //t.co/y5hVWV7VUz par @Ic...,0,,205970274,Martinique,None,Une_personne,310,46303,fr,23-03-2017
844906454993833985,Thu Mar 23 13:39:31 +0000 2017,  Brexit could see UK influence over AI dramatically decline  #brexit #ArtificialIntelligence... ,0,,3292921680,Colwyn Bay  Wales,None,WalesBuzz,1,202674,en-gb,23-03-2017
844906456436625409,Thu Mar 23 13:39:31 +0000 2017,  Whistleblower #DennisMontgomery Informed Us About #TheHammer#MAGA #pedogate #AmericaFirst #DrainTheSwamp... ,0,,721118837349957632,Jacksonville fl,None,Brendag38323989,2217,87964,en,23-03-2017
844906476527370240,Thu Mar 23 13:39:36 +0000 2017,  #GainsboroughStandard guest column: County will be better off after #Brexit  #SirEdwardLeigh... ,0,,186586956,Chesterfield  Derbyshire,None,BoltonHG,2336,986,en,23-03-2017
844906480717443072,Thu Mar 23 13:39:37 +0000 2017,  VIDEO: Stolen Seas: Brexit is an opportunity to right a grevious wrong //t.co/jkfFhvw05e #UKIP #...,0,,90468233,England,None,themsmint,412,22835,en,23-03-2017
844906482810474498,Thu Mar 23 13:39:37 +0000 2017,This attack on UK  let PM confortable on #Brexit legitimacy,0,,86406337,Portugal,None,franki_kuka,2101,133672,pt,23-03-2017
844906493686304768,Thu Mar 23 13:39:40 +0000 2017,  Threat to UK firms' credit rating from cliff-edge Brexit says Moody's via //...,0,,792782917638455296,Spain,None,BremainInSpain,413,1485,en,23-03-2017
844906506902536192,Thu Mar 23 13:39:43 +0000 2017,  UK millionaires think Brexit will make them even richer via //t.co/zSX0FsDThJ,0,,891138320,UK,None,baroncols,3608,26182,en,23-03-2017
844906509310054402,Thu Mar 23 13:39:44 +0000 2017,  EIGHT arrested in #LondonTerrorAttack. Now 40+ listed as injured  some critical #UKIP #BREXIT #Trump #teaparty https://t.c...,0,,539328946,Texas  USA,None,vipersan,432,9148,en,23-03-2017
844906519086977029,Thu Mar 23 13:39:46 +0000 2017,I highly doubt #Horizon2020 will happen for #UK after #Brexit ... ,0,,3422412809,Edinburgh  Scotland,None,NorthPoleAnna,130,471,de,23-03-2017
844906521335119874,Thu Mar 23 13:39:46 +0000 2017, #EU4ME #StopBrexit //t.co/yFpVehm234,0,,1242631568,Lambeth  London,None,AngieMeader,7793,85459,en,23-03-2017
844906551542460416,Thu Mar 23 13:39:54 +0000 2017,  Would Russia like to see more Brexits? Yes  says FBI Director James Comey #Brexit #UKIP #Putin #Trump ...,0,,1242631568,Lambeth  London,None,AngieMeader,7793,85460,en,23-03-2017
844906563995340800,Thu Mar 23 13:39:57 +0000 2017,  #SNP are in denial but @strathearnrose  revealed their real feelings  #Indyref2 #brexit #Remain #Celtic #sturgeon... ,0,,359493173,Glasgow,None,super_thornlie,1096,7068,en,23-03-2017
844906581007392768,Thu Mar 23 13:40:01 +0000 2017,   Brexit ... ,0,,978218107,Thailand,None,NoonSathirapany,638,61258,en,23-03-2017
844906617527291906,Thu Mar 23 13:40:09 +0000 2017,   Wiretapped-Dennis Montgomery 47 HD's 600 Million Pgs #TheHammer #Crowdstrike #MAGA #pedogate #AmericaFirst #CCOT... ,0,,754998244606898176,Kentucky,None,bartman1078,672,1119,en,23-03-2017
844906621906096129,Thu Mar 23 13:40:10 +0000 2017,  UPDATE: Britain to trigger process for leaving #EU on March 29  officially starting two-year #Brexit negotiations... ,0,,813836228076376064,Kingdom of Saudi Arabia,None,mohdsalim30,26,34,en,23-03-2017
844906640184766464,Thu Mar 23 13:40:15 +0000 2017,  Thoughts on the impact of #Brexit on #financialservices industry in @FISGlobal and @Aite paper... ,0,,59165985,Chennai  Tamil Nadu,None,Jerrygopi,753,489,en,23-03-2017
844906640855969793,Thu Mar 23 13:40:15 +0000 2017,  #Trump #brexit ,0,,1209922952,Polska,None,KonradUrbanik,181,517,pl,23-03-2017
844906642235932674,Thu Mar 23 13:40:15 +0000 2017,  'The UK is seen as a safe market and #BREXIT won't change this' - Paul Marsh  Capital Investment Directorate... ,0,,129563535,London  England,None,ThePlanner_RTPI,627,6273,en,23-03-2017
844906655062069248,Thu Mar 23 13:40:18 +0000 2017,  4 jours avant le declenchement du #Brexit  l'UE fetera les 60 ans du traite de Rome  traite fondateur de l'Europe. L'ironi...,0,,150957872,Breizh pointe du Raz,None,BZHanAVEL,471,25770,fr,23-03-2017
