Tweet ID,Tweet created date,Tweet,Retweet count,Tweet source,User ID,User location,User follower,User name,Friends count,Status count,Language,Tweeted date
8.42E+17,Thu Mar 16 12:14:25 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,2250254370,Mumbai  Maharashtra  India,None,maikaladka,1410,38610,en,16-03-2017
8.42E+17,Thu Mar 16 12:15:16 +0000 2017,RT @Flipkart: Most of you guessed it right! Are you guys geared up to win the #MotoG5Plus and some more exciting prizes? RT this and we wil...,0,Twitter for Android,2268247584,Hyderabad,None,OmmBishal,337,7522,en,16-03-2017
8.42E+17,Thu Mar 16 12:15:37 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.42E+17,  ,None,Sandeep23357686,47,1,en,16-03-2017
8.42E+17,Thu Mar 16 12:15:43 +0000 2017,@AMBRANEINDIA  launches new affordable tablet https://t.co/Rzm5Y7VB17  #Technology #motog5plus #DeliveredAsPromised #TimeToGetSmarter,0,Twitter Web Client,7.86E+17,Mumbai  India,None,LovelyMonica94,1632,874,en,16-03-2017
8.42E+17,Thu Mar 16 12:16:27 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.37E+17,India ,None,PrithaChkravrty,1445,8,en,16-03-2017
8.42E+17,Thu Mar 16 12:16:42 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for iPhone,3186295416,Chennai ,None,sidarth157549,751,763,en,16-03-2017
8.42E+17,Thu Mar 16 12:17:36 +0000 2017,@Moto_IND @Flipkart Great phone  Great offers  ordered it today. #MotoG5Plus Lunar Grey 4gb/32Gb.,0,Twitter for Android,157628069,Bhopal  India,None,gajendrapotter,325,47,en,16-03-2017
8.42E+17,Thu Mar 16 12:17:47 +0000 2017,RT @Flipkart: Most of you guessed it right! Are you guys geared up to win the #MotoG5Plus and some more exciting prizes? RT this and we wil...,0,Mobile Web (M5),7.81E+17,Noida  India,None,Techy_SJ,75,7,en,16-03-2017
8.42E+17,Thu Mar 16 12:18:22 +0000 2017,RT @Moto_IND: The new #motog5plus has arrived! Grab the amazing launch-day offers. Only on @Flipkart  starting Rs 14 999 Buy now... ,0,Twitter for Android,162852315,Kalyan  Maharashtra,None,ChandraBhan_Y,93,1388,en,16-03-2017
8.42E+17,Thu Mar 16 12:18:46 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,7.87E+17,Amritsar  India,None,nakulrally19,37,92,en,16-03-2017
8.42E+17,Thu Mar 16 12:20:40 +0000 2017,Brass Made Peacock Door Hook (PID-169) for more products https://t.co/jDh8Mp9ZXE #Brass #Door #Hook #Peacock... https://t.co/ibLEir6MPJ,0,Twitter Web Client,8.30E+17,New Delhi  India,None,ExcelArtCrafts,487,179,en,16-03-2017
8.42E+17,Thu Mar 16 12:21:00 +0000 2017,Get a #PG on #Rent for boys or girls in any city of #India with the help of #Rent2cash. https://t.co/6dxaAiMUkk... https://t.co/5rO6e2bSxG,0,Twitter Web Client,2801547805,India,None,Rent2cash01,2925,10272,en,16-03-2017
8.42E+17,Thu Mar 16 12:21:01 +0000 2017,RT @jabv02: Nada mal la camara de el #MotoG5Plus sin duda un paso en la direccion correcta @Moto_MEX  el video ya en linea... ,0,Twitter for iPhone,36660614,Mexico City,None,juliendonnelait,9048,43664,es,16-03-2017
8.42E+17,Thu Mar 16 12:21:36 +0000 2017,RT @RajasreeDas94: #MotoG5Plus  #LetUsUncompromise  I will not compromise with my modesty. Stand up against what is wrong. @Moto_IND @Flipk...,0,Twitter for iPhone,56965808,India,None,bharat2004,480,34229,en,16-03-2017
8.42E+17,Thu Mar 16 12:21:37 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.39E+17,  ,None,Sukhvee07708519,45,6484,en,16-03-2017
8.42E+17,Thu Mar 16 12:21:39 +0000 2017,RT @tecnocat01: Hermoso el Moto G5 Plus creado de cuerpo metalico y diseno Premium @Moto_MEX @lenovoMX  #hellomoto  #MotoG5Plus https://t.c...,0,Twitter for iPhone,36660614,Mexico City,None,juliendonnelait,9048,43669,es,16-03-2017
8.42E+17,Thu Mar 16 12:22:34 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter Web Client,1582365416,Bengaluru  India,None,umashankar325a,53,39,en,16-03-2017
